directorId,name
1,Aaron Schneider
2,Adam McKay
3,Adrian Molina
4,Alejandro G. Iñárritu
5,Alex Garland
6,Andy Muschietti
7,Aneesh Chaganty
8,Anthony Russo
9,Antoine Fuqua
10,Antonio Campos
11,Ari Aster
12,Autumn de Wilde
13,Barry Jenkins
14,Benny Safdie
15,Bob Persichetti
16,Bong Joon Ho
17,Brad Anderson
18,Bradley Cooper
19,Brady Corbet
20,Brian Helgeland
21,Bryan Singer
22,Bryan Woods
23,Byron Howard
24,Cary Joji Fukunaga
25,Cate Shortland
26,Celine Song
27,Chad Stahelski
28,Charise Castro Smith
29,Charlie Kaufman
30,Charlotte Wells
31,Chloé Zhao
32,Chris McKay
33,Chris Sanders
34,Christian Gudegast
35,Christophe Lourdelet
36,Christopher McQuarrie
37,Christopher Nolan
38,Clint Eastwood
39,Colin Trevorrow
40,Coralie Fargeat
41,Céline Sciamma
42,Damien Chazelle
43,Dan Trachtenberg
44,Daniel Kwan
45,Daniel Scheinert
46,Danny Philippou
47,David Ayer
48,David Bruckner
49,David Leitch
50,David Mackenzie
51,David Prior
52,Dean DeBlois
53,Denis Villeneuve
54,Destin Daniel Cretton
55,Don Hall
56,Doug Liman
57,Edgar Wright
58,Edward Berger
59,Emerald Fennell
60,Espen Sandberg
61,Felix van Groeningen
62,Florian Zeller
63,Francis Lawrence
64,Gareth Edwards
65,Garth Jennings
66,Gaspar Noé
67,Gavin O'Connor
68,Gene Stupnitsky
69,George Miller
70,Gerard Johnstone
71,Gina Prince-Bythewood
72,Greta Gerwig
73,Guillermo del Toro
74,Guy Ritchie
75,Harry Bradbeer
76,Haruo Sotozaki
77,Ilya Naishuller
78,J.A. Bayona
79,J.C. Chandor
80,J.J. Abrams
81,Jake Kasdan
82,James Bobin
83,James Cameron
84,James Gunn
85,James Mangold
86,James Watkins
87,Jared Bush
88,Jaume Collet-Serra
89,Jean-François Richet
90,Jeff Fowler
91,Joachim Rønning
92,Joachim Trier
93,Joaquim Dos Santos
94,Joe Russo
95,John Crowley
96,John Francis Daley
97,John Hyams
98,John Krasinski
99,John Musker
100,Jon M. Chu
101,Jon Watts
102,Jonas Åkerlund
103,Jonathan Glazer
104,Jonathan Goldstein
105,Jordan Peele
106,Joseph Kosinski
107,Josh Safdie
108,Joss Whedon
109,JT Mollner
110,Justin K. Thompson
111,Justin Kurzel
112,Justine Triet
113,Kemp Powers
114,Kenneth Branagh
115,Kenneth Lonergan
116,Lee Isaac Chung
117,Lee Unkrich
118,Leigh Whannell
119,Luca Guadagnino
120,M. Night Shyamalan
121,Makoto Shinkai
122,Marc Webb
123,Mark Mylod
124,Martin McDonagh
125,Martin Scorsese
126,Matt Bettinelli-Olpin
127,Matt Reeves
128,Matthew Vaughn
129,Max Barbakow
130,Mel Gibson
131,Michael Gracey
132,Michael Mohan
133,Michael Philippou
134,N/A
135,Nadine Labaki
136,Nancy Meyers
137,Neill Blomkamp
138,Olivia Wilde
139,Park Chan-wook
140,Parker Finn
141,Patricia Riggen
142,Patrick Hughes
143,Paul Feig
144,Paul Thomas Anderson
145,Pete Docter
146,Peter Farrelly
147,Peter Ramsey
148,Peyton Reed
149,Quentin Tarantino
150,Rawson Marshall Thurber
151,Reinaldo Marcus Green
152,Rian Johnson
153,Ric Roman Waugh
154,Rich Moore
155,Richard Linklater
156,Ridley Scott
157,Robert Eggers
158,Rodney Rothman
159,Ron Clements
160,Ron Howard
161,Ronnie Del Carmen
162,Ruben Fleischer
163,Ryan Coogler
164,S. Craig Zahler
165,Sam Hargrave
166,Sam Mendes
167,Scott Beck
168,Scott Derrickson
169,Scott Mann
170,Sean Anders
171,Sean Baker
172,Sean Durkin
173,Shane Black
174,Shawn Levy
175,Sian Heder
176,Steven Soderbergh
177,Steven Spielberg
178,Taika Waititi
179,Tarsem Singh
180,Taylor Sheridan
181,Thea Sharrock
182,Theodore Melfi
183,Thomas Kail
184,Thomas Vinterberg
185,Ti West
186,Tim Miller
187,Todd Phillips
188,Tom McCarthy
189,Tyler Gillett
190,Vidhu Vinod Chopra
191,Walter Salles
192,Will Gluck
193,Yeon Sang-ho
194,Yorgos Lanthimos
195,Zach Cregger
196,Zack Snyder
