movieId,directorId
tt0369610,39
tt3774694,66
tt2361509,136
tt2381249,36
tt3460252,149
tt1392190,69
tt3397884,53
tt1596363,2
tt3659388,156
tt1663202,4
tt2140379,179
tt2494362,164
tt4263482,157
tt2395427,108
tt3569230,20
tt1895587,188
tt1638355,74
tt2488496,80
tt3464902,194
tt3076658,163
tt2096673,145
tt2096673,161
tt2379713,166
tt0478970,148
tt1951266,63
tt1661199,114
tt2140479,67
tt3748528,64
tt2543164,53
tt4016934,139
tt2119532,130
tt3783958,42
tt2948356,23
tt2948356,154
tt2948356,87
tt3799694,173
tt2674426,181
tt4972582,120
tt5700672,193
tt4846340,182
tt1431045,186
tt5311514,121
tt4975722,13
tt4034228,115
tt2404435,9
tt2975590,196
tt3470600,65
tt3470600,35
tt2582782,50
tt3521164,159
tt3521164,99
tt3521164,55
tt3110958,100
tt3498820,8
tt3498820,94
tt0490215,125
tt4257926,141
tt1856101,53
tt5052448,105
tt1396484,6
tt1959563,142
tt4425200,27
tt3829920,106
tt5013056,37
tt5726616,119
tt2283362,81
tt1485796,131
tt1790809,91
tt1790809,60
tt3532216,56
tt5362988,180
tt3501632,178
tt5027774,124
tt3890160,57
tt2380307,117
tt2380307,3
tt5580390,73
tt3315342,85
tt2250912,101
tt5638642,48
tt5776858,144
tt4481414,122
tt0974015,196
tt2527336,152
tt4881806,78
tt4912910,36
tt6966692,146
tt7784604,11
tt4154756,8
tt4154756,94
tt1825683,163
tt4633694,15
tt4633694,147
tt4633694,158
tt6499752,118
tt1259528,34
tt2798920,5
tt7040874,143
tt6644200,98
tt1677720,177
tt2704998,96
tt2704998,104
tt1517451,18
tt7401588,170
tt1226837,61
tt1270797,162
tt8267604,135
tt5083738,194
tt1727824,21
tt5463162,49
tt2873282,63
tt3104988,100
tt3778644,160
tt6751668,16
tt7131622,149
tt1950186,85
tt4154796,8
tt4154796,94
tt8946378,152
tt8772262,11
tt8367814,74
tt7547410,82
tt7286456,187
tt2386490,52
tt6146586,27
tt8579674,166
tt6857112,105
tt2527338,80
tt1302006,125
tt3281548,72
tt0103639,159
tt0103639,99
tt5727208,14
tt5727208,107
tt8613070,41
tt7984734,157
tt7798634,126
tt7798634,189
tt4139588,102
tt7349950,6
tt2584384,178
tt1488606,79
tt7556122,71
tt8503618,183
tt6723592,37
tt9484998,129
tt2106476,184
tt10272386,62
tt9620292,59
tt10288566,184
tt1051906,118
tt7395114,10
tt6048922,1
tt2948372,145
tt2948372,113
tt8936646,165
tt3794354,90
tt8633478,7
tt7737786,153
tt9214832,12
tt11032374,76
tt7711170,97
tt5867314,51
tt7846844,75
tt6772802,160
tt8332922,98
tt1911644,17
tt7939766,29
tt1160419,53
tt7888964,77
tt10872600,101
tt2382320,24
tt11083552,74
tt9032400,31
tt6334354,84
tt3480822,25
tt9620288,151
tt8385148,142
tt10370710,92
tt11286314,2
tt11235772,132
tt7144666,168
tt9777666,32
tt10366460,175
tt6264654,174
tt12361974,196
tt9376612,54
tt11271038,144
tt2953050,87
tt2953050,23
tt2953050,28
tt9639470,57
tt6856242,128
tt7991608,150
tt9421570,9
tt1745960,106
tt8760708,70
tt12593682,49
tt10638522,46
tt10638522,133
tt15791034,195
tt1877830,127
tt13560574,185
tt9764362,123
tt11866324,43
tt6710474,44
tt6710474,45
tt10640346,42
tt9114286,163
tt11813216,124
tt19770238,30
tt18925334,185
tt11138512,157
tt15325794,169
tt1649418,94
tt1649418,8
tt11564570,152
tt10731256,138
tt10954984,105
tt1464335,162
tt1630029,83
tt15474916,140
tt10648342,178
tt15398776,37
tt9603212,36
tt10366206,27
tt22375054,109
tt10545296,63
tt15671028,68
tt26047818,192
tt5884796,89
tt3107288,134
tt1517268,72
tt14230458,194
tt9362722,93
tt9362722,113
tt9362722,110
tt5537002,125
tt20215968,155
tt13238346,26
tt4495098,137
tt17351924,59
tt6791350,84
tt7160372,103
tt23849204,190
tt11858890,64
tt21064584,172
tt17009710,112
tt2906216,96
tt2906216,104
tt4873118,74
tt5040012,157
tt28015403,167
tt28015403,22
tt9218128,156
tt28607951,171
tt1262426,100
tt27131358,95
tt17526714,40
tt8999762,19
tt11563598,85
tt15239678,53
tt12584954,116
tt29623480,33
tt20215234,58
tt26625693,111
tt5177120,74
tt12037194,69
tt27534307,86
tt15314262,47
tt14961016,191
tt18259086,90
tt21382296,88
tt28249919,176
tt17279496,5
tt27403986,38
